"ARP","RWYNM","TYPNM","RVR","VIS","DH","CIG","RMK"
"HAN","11L","VOR",,"2400m","460","Y","CIG 460FT"
"HAN","11R","ILS(CAT Ⅱ)","400m",,"132","Y","CIG140FT"
"HFE","33","ILS(CAT Ⅰ)","550M","800M","200","N",
"HFE","15","VOR DME","2200M",,"490","N",
"HFE","15/33","TAKE OFF","400M","800M",,"N",
"HFE","33","VOR DME","2200M",,"482","N",
"HFE","15","ILS(CAT Ⅰ)","550M","800M","200","N",
"HIJ","10","VOR","1200",,"528","N",
"HIJ","10","ILS(CAT Ⅲa)","100","-","-","N",
"HIJ","28","RNAV","1400",,"373","N",
"HIJ","28","VOR","1400",,"413","N",
"HIJ","10","ILS(CAT Ⅰ)","550",,"200","N",
"HIJ","10","ILS(CAT Ⅱ)","-","-","-","N","NOT APPLICABLE"
"HKD","12","RNAV","1400M",,"368","N","LNAV/VNAV "
"HKD","12","ILS(CAT Ⅰ)","700M",,"207","N",
"HKD","30","RNAV",,,"371","N","CMV 1000M"
"HKD","30","VOR DME",,,"618","N","CMV 1200M"
"HKD","12","VOR DME","1400M",,"438","N",
"HKG","25R","ILS(CAT Ⅲa)","175m",,"50","N",
"HKG","07L","VOR",,"2800m","552","N",
"HKG","07L","RNAV",,"2400m","398","N",
"HKG","07R","ILS(CAT Ⅱ)","350m",,"100","N",
"HKG","25L","RNAV",,"2000m","473","N",
"HKG","25L","ILS(CAT Ⅱ)","350m",,"100","N",
"HKG","07R","RNAV",,"2000m","403","N",
"HKG","25R","ILS(CAT Ⅰ)","550m","800m","200","N",
"HKG","25R","VOR",,"2400m","472","N",
"HKG","25R","ILS(CAT Ⅱ)","300m",,"100","N",
"HKG","07R","ILS(CAT Ⅰ)","550m","800m","200","N",
"HKG","07L","ILS(CAT Ⅰ)","550m","800m","200","N",
"HKG","07L","ILS(CAT Ⅱ)","300m",,"100","N",
"HKG","25R","RNAV",,"2400m","478","N",
"HKG","25L","ILS(CAT Ⅰ)","550m","800m","200","N",
"HKT","27","VOR",,"4800m","998","N",
"HKT","27","RNAV",,"2800m","658","N",
"HKT","09","VOR",,"4800m","1241","N",
"HKT","09","RNAV",,"4000m","851","N",
"HKT","27","ILS(CAT Ⅰ)",,"2200m","458","N",
"HND","23","LOC DME","1000M",,"419","N","MDH 419'"
"HND","34L","LOC DME","1200M",,"539","N","MDH 539'"
"HND","34R","ILS(CAT Ⅱ)","300M",,"100","N","RA 100'"
"HND","22","ILS(CAT Ⅰ)","550M",,"200","N",
"HND","16R","RNAV","1200M",,"554","N",
"HND","23","RNAV","800M",,"275","N",
"HND","22","LOC DME","1200M",,"579","N","MDH 579'"
"HND","16L","RNAV","1200M",,"511","N",
"HND","16L","ILS(CAT Ⅰ)","550M",,"200","N",
"HND","16L","LOC DME","1200M",,"509","N","MDH 509'"
"HND","34R","LOC DME","1400M",,"679","N","MDH 679'"
"HND","16R","LOC DME","1200M",,"549","N","MDH 549'"
"HND","16R","ILS(CAT Ⅰ)","550M",,"200","N",
"HND","23","ILS(CAT Ⅰ)","800M",,"328","N",
"HND","34R","ILS(CAT Ⅰ)","550M",,"200","N",
"HND","34L","ILS(CAT Ⅰ)","550M",,"200'","N",
"HND","34R","ILS(CAT Ⅲa)","175M",,,"N",
"HRB","23","RNAV","550M","800M","200","N",
"HRB","23","ILS(CAT Ⅰ)","550M","800M","200","N",
"HRB","23","VOR DME",,"1500M","401","N",
"HRB","05","ILS(CAT Ⅰ)","550M","800M","200","N",
"HRB","05","VOR DME",,"1500M","403","N",
"HRB","05","RNAV","550M","800M","200","N",
"ICN","RWY 15L","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","15R","RNAV",,"1200m","407","N",
"ICN","RWY 15L","ILS(CAT Ⅱ)","300m",,"100","N",
"ICN","34","ILS(CAT Ⅲa)","175m",,,"N",
"ICN","33R","ILS(CAT Ⅲb)","125m",,,"N",
"ICN","16","ILS(CAT Ⅲb)","125m",,,"N",
"ICN","RWY 15L","ILS(CAT Ⅲa)","175m",,,"N",
"ICN","RWY 16","RNAV",,"1200m","407","N",
"ICN","RWY 33L","ILS(CAT Ⅲa)","175m",,,"N",
"ICN","RWY 33L","ILS(CAT Ⅲb)","125m",,,"N",
"ICN","RWY 33L","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","RWY 15L","RNAV",,"1200m","407","N",
"ICN","RWY 15L","VOR",,"1600m","437","N",
"ICN","RWY 15R","ILS(CAT Ⅱ)","300m",,"100","N",
"ICN","RWY ","ILS(CAT Ⅱ)","300m",,"100","N",
"ICN","RWY 16","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","RWY 33R","ILS(CAT Ⅱ)","300m",,"100","N",
"ICN","RWY 33R","RNAV",,"1200m","407","N",
"ICN","RWY 15L","ILS(CAT Ⅲb)","125m",,,"N",
"ICN","RWY 15R","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","RWY 33L","RNAV",,"1200m","407","N",
"ICN","RWY 16","ILS(CAT Ⅲa)","175m",,,"N",
"ICN","33L","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","34","ILS(CAT Ⅱ)","300m",,"100","N",
"ICN","34","RNAV",,"1200m","407","N",
"ICN","33R","ILS(CAT Ⅲb)","125m",,,"N",
"ICN","ALL","TAKE OFF","125","400",,"N",
"ICN","33R","ILS(CAT Ⅰ)","550m","800m","200","N",
"ICN","33R","ILS(CAT Ⅲa)","175m",,,"N",
"ICN","16","ILS(CAT Ⅱ)","300m",,"100","N",
