ALC,Origin,Destination,Number,FL Cap,Track,Production,Disabled,Deletion Date,Route,G/C,Distance,EU Emissions,Source,Updated,Valid Days,Valid Date,Valid From,Valid To,Aircraft,Acft Type,Route Qual,Origin Rwy,Destination Rwy,Comments
,PGSN,RJGG,10,390,,Yes,No,,PGSN DCT SN DCT RICHH A597 OTOWA DCT KEC V52 SHIMA DCT RJGG,1279,1360,1327,MJ,2025-08-19 0533,,,,,,,,7,18,"1. SPN/NGO NML RTE 2. MEA FL060(A597) 3. NON RNAV 4. DUAL
HF/SINGLE GPS REQUIRED 5. 2018-07-11     
"
,PGSN,RKJB,99,390,,Yes,No,,PGSN DCT RIDLL G339 LUKRA Y208 INVOK Z91 PSN Y253 KWA DCT PEGRO DCT RKJB,1584,1721,1634,SH,2022-03-29 0512,,,,,,,,7,1,"TEST RTE
"
,PGSN,RKPC,10,390,,Yes,No,,PGSN DCT SN DCT RIDLL G339 HKC A582 IKE A595 SAMDO Y677 TAMNA TAMNA2P RKPC,1520,1741,1569,MJ,2024-06-12 0530,,,,,,,,7,7,"1. CJU-SPN NML RTE 2. MEA FL120 3. DUAL HF REQUIRED 4. SINGLE
GPS REQUIRED 5. 2016-12-22   
"
,PGSN,RKPC,11,390,,Yes,No,,PGSN DCT SN DCT RIDLL G339 AGIKA Z41 POTET Y579 RUGMA Y572 TOSAN TOSAN2P RKPC,1520,1674,1569,TL,2022-12-22 2211,,,,,,,,7,7,"1. CJU-SPN CDR RTE
2. MEA FL240
3. DUAL HF REQUIRED
4. SINGLE GPS REQUIRED
5. 2017-01-14


"
,PGSN,RKPC,12,390,,Yes,No,,PGSN DCT SN DCT RIDLL G339 LUKRA DCT KAGYA G339 HKC A582 IKE A595 SAMDO Y677 TAMNA TAMNA2P RKPC,1520,1741,1569,MJ,2024-06-12 0512,,,,,,,,7,7,"1. CJU-SPN TEMP NORMAL RTE 2. MEA FL210(A595 SAMDO - GOURA) 3.
RNAV5(Y208.Y677) 4. DUAL HF REQUIRED 5. SINGLE GPS REQUIRED 6.
2020-03-20   
"
,PGSN,RKPC,20,390,,Yes,No,,PGSN DCT SN DCT RICHH A597 OTOWA DCT KEC V37 KRE V56 MARCO Y28 DGC DCT IKE A595 GOURA DCT SAMDO Y677 TAMNA TAMNA2P RKPC,1520,1834,1569,MJ,2024-12-06 0049,,,,,,,,7,7,"1. SPN/CJU KIX DETOUR RTE 2. MEA FL240(Y579) 3. RNAV5(Y60,Y579)
4. DUAL HF/SINGLE GPS REQUIRED 5. 2020-03-20    
"
,PGSN,RKPC,30,390,,Yes,No,,PGSN DCT SN DCT TOESS B586 SABRI Y873 FITTO Y87 UTIBO Y502 TOKIS Y50 HKC A582 IKE A595 SAMDO Y677 TAMNA TAMNA2P RKPC,1520,2177,1569,MJ,2024-06-12 0539,,,,,,,,7,7,"1. SPN/CJU NGO DETOUR RTE 2. MEA FL250(Y873) 3.
RNAV5(Y873/Y87/Y502/Y50) 4. DUAL HF/SINGLE GPS REQUIRED 5.
2020-03-20  
"
,PGSN,RKPC,40,390,,Yes,No,,PGSN DCT TERYY G205 TEGOD A337 DAGDA Y820 INUBO Y60 POTET Y579 RUGMA Y572 TOSAN TOSAN2P RKPC,1520,2175,1569,TL,2022-12-22 2212,,,,,,,,7,7,"1. SPN/CJU NRT DETOUR RTE
2. MEA FL250(Y820)
3. RNAV5(Y820/Y60/Y579)
4. DUAL HF/SINGLE GPS REQUIRED
5. 2020-03-20

"
,PGSN,RKPC,60,390,,Yes,No,,PGSN DCT OTTRE R595 SAKON Y27 RUSAR Y579 RUGMA Y572 TOSAN TOSAN2P RKPC,1520,1938,1569,TL,2022-12-22 2213,,,,,,,,7,7,"1. SPN/CJU OKA DETOUR RTE
2. MEA FL260(Y27)
3. RNAV5(Y27/Y579) 
4. DUAL HF/SINGLE GPS REQUIRED
5. 2016-12-22

"
,PGSN,RKPC,98,120,,Yes,No,,PGSN DCT RIDLL G339 LUKRA DCT KAGYA G339 HKC A582 IKE A595 TAMNA DCT RKPC,1520,1643,1569,AY,2020-04-20 0754,,,,,,,,7,7,"1. SPN/CJU CONVENTIONAL RTE(RNAV INOP)
2. MEA FL120
3. RNAV INOP
4. DUAL HF/SINGLE GPS REQUIRED
5. 2020-03-20


"
